"Notes"	"Year Diagnosed"	"Year Diagnosed Code"	"Location"	"Location Code"	"Age at Diagnosis"	"Age at Diagnosis Code"	"HIV Exposure Category"	"HIV Exposure Category Code"	"Sex and Sexual Orientation"	"Sex and Sexual Orientation Code"	Cases
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"Less than 1 Year"	"0"	"Mother with HIV, or HIV risk"	"10"	"Female (any)"	"4"	4
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"Less than 1 Year"	"0"	"Mother with HIV, or HIV risk"	"10"	"Male (heterosexual or pediatric)"	"3"	3
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Mother with HIV, or HIV risk"	"10"	"Female (any)"	"4"	12
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Mother with HIV, or HIV risk"	"10"	"Male (heterosexual or pediatric)"	"3"	10
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Pediatric receipt of blood"	"11"	"Female (any)"	"4"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Pediatric risk not reported or identified"	"12"	"Female (any)"	"4"	5
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Pediatric risk not reported or identified"	"12"	"Male (heterosexual or pediatric)"	"3"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"13 - 19 Years"	"2"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"13 - 19 Years"	"2"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	1
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	5
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	2
	"2000"	"2000"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	1
