"Notes"	"Year Diagnosed"	"Year Diagnosed Code"	"Location"	"Location Code"	"Age at Diagnosis"	"Age at Diagnosis Code"	"HIV Exposure Category"	"HIV Exposure Category Code"	"Sex and Sexual Orientation"	"Sex and Sexual Orientation Code"	Cases
	"1994"	"1994"	"Northeast, pediatric or not in MSA"	"AIDS6"	"Less than 1 Year"	"0"	"Mother with HIV, or HIV risk"	"10"	"Female (any)"	"4"	49
	"1994"	"1994"	"Northeast, pediatric or not in MSA"	"AIDS6"	"Less than 1 Year"	"0"	"Mother with HIV, or HIV risk"	"10"	"Male (heterosexual or pediatric)"	"3"	48
	"1994"	"1994"	"Northeast, pediatric or not in MSA"	"AIDS6"	"Less than 1 Year"	"0"	"Pediatric risk not reported or identified"	"12"	"Female (any)"	"4"	1
	"1994"	"1994"	"Northeast, pediatric or not in MSA"	"AIDS6"	"Less than 1 Year"	"0"	"Pediatric risk not reported or identified"	"12"	"Male (heterosexual or pediatric)"	"3"	1
	"1994"	"1994"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Mother with HIV, or HIV risk"	"10"	"Female (any)"	"4"	113
	"1994"	"1994"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Mother with HIV, or HIV risk"	"10"	"Male (heterosexual or pediatric)"	"3"	102
	"1994"	"1994"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Pediatric receipt of blood"	"11"	"Female (any)"	"4"	1
	"1994"	"1994"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Pediatric receipt of blood"	"11"	"Male (heterosexual or pediatric)"	"3"	3
	"1994"	"1994"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Pediatric risk not reported or identified"	"12"	"Female (any)"	"4"	4
	"1994"	"1994"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Pediatric risk not reported or identified"	"12"	"Male (heterosexual or pediatric)"	"3"	2
	"1994"	"1994"	"Northeast, pediatric or not in MSA"	"AIDS6"	"13 - 19 Years"	"2"	"Hemophilia/coagulation disorder"	"04"	"Male (heterosexual or pediatric)"	"3"	4
